2024-12-30T22:30:32.439+0100 INFO  [background-preinit] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-12-30T22:30:32.491+0100 INFO  [main] pxl.be.services.ConfigServiceApplication - Starting ConfigServiceApplication using Java 17.0.5 with PID 12800 (C:\Users\12202466\Documents\SchoolProjecten\project-NickySchobbenPXL\backend-java\NewsArticlePXL\config-service\target\classes started by 12202466 in C:\Users\12202466\Documents\SchoolProjecten\project-NickySchobbenPXL\backend-java\NewsArticlePXL)
2024-12-30T22:30:32.491+0100 INFO  [main] pxl.be.services.ConfigServiceApplication - The following 1 profile is active: "native"
2024-12-30T22:30:33.460+0100 INFO  [main] org.springframework.cloud.context.scope.GenericScope - BeanFactory id=8e11f026-7e91-303e-9a6e-6684c2a108bf
2024-12-30T22:30:33.727+0100 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8088 (http)
2024-12-30T22:30:33.738+0100 INFO  [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8088"]
2024-12-30T22:30:33.742+0100 INFO  [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-12-30T22:30:33.742+0100 INFO  [main] org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.31]
2024-12-30T22:30:33.803+0100 INFO  [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-12-30T22:30:33.804+0100 INFO  [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1267 ms
2024-12-30T22:30:35.567+0100 INFO  [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2024-12-30T22:30:35.691+0100 INFO  [main] org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path ''
2024-12-30T22:30:35.736+0100 INFO  [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2024-12-30T22:30:35.752+0100 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8088 (http) with context path '/'
2024-12-30T22:30:36.866+0100 INFO  [main] org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
