2025-01-01T19:34:33.533+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8888
2025-01-01T19:34:33.543+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Exception on Url - http://localhost:8888:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8888/post-service/default": Connection refused: no further information. Will be trying the next url if available
2025-01-01T19:34:33.544+0100 WARN  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/post-service/default": Connection refused: no further information
2025-01-01T19:34:33.573+0100 INFO  [main] pxl.be.services.controller.PostControllerTests - No active profile set, falling back to 1 default profile: "default"
2025-01-01T19:34:33.579+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
2025-01-01T19:34:33.580+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServerConfigDataLoader - Located environment: name=post-service, profiles=[default], label=null, version=null, state=null
2025-01-01T19:34:38.426+0100 INFO  [main] org.springframework.boot.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2025-01-01T19:34:38.427+0100 INFO  [main] org.springframework.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2025-01-01T19:34:38.431+0100 INFO  [main] org.springframework.test.web.servlet.TestDispatcherServlet - Completed initialization in 2 ms
2025-01-01T19:34:38.470+0100 INFO  [main] pxl.be.services.controller.PostControllerTests - Started PostControllerTests in 9.496 seconds (process running for 11.955)
2025-01-01T19:34:39.527+0100 INFO  [main] pxl.be.services.service.PostService - Attempting to update poststatus for post with id 1

2025-01-01T19:34:39.528+0100 INFO  [main] pxl.be.services.service.PostService - The poststatus for post with postId 1 has been succesfully updated!
2025-01-01T19:36:27.305+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8888
2025-01-01T19:36:27.313+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Exception on Url - http://localhost:8888:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8888/post-service/default": Connection refused: no further information. Will be trying the next url if available
2025-01-01T19:36:27.313+0100 WARN  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/post-service/default": Connection refused: no further information
2025-01-01T19:36:27.327+0100 INFO  [main] pxl.be.services.controller.PostControllerTests - No active profile set, falling back to 1 default profile: "default"
2025-01-01T19:36:27.333+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
2025-01-01T19:36:27.333+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServerConfigDataLoader - Located environment: name=post-service, profiles=[default], label=null, version=null, state=null
2025-01-01T19:36:30.520+0100 INFO  [main] org.springframework.boot.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2025-01-01T19:36:30.521+0100 INFO  [main] org.springframework.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2025-01-01T19:36:30.525+0100 INFO  [main] org.springframework.test.web.servlet.TestDispatcherServlet - Completed initialization in 3 ms
2025-01-01T19:36:30.564+0100 INFO  [main] pxl.be.services.controller.PostControllerTests - Started PostControllerTests in 7.453 seconds (process running for 9.626)
2025-01-01T19:36:31.594+0100 INFO  [main] pxl.be.services.service.PostService - Attempting to update poststatus for post with id 1

2025-01-01T19:36:31.595+0100 INFO  [main] pxl.be.services.service.PostService - The poststatus for post with postId 1 has been succesfully updated!
2025-01-01T19:37:48.487+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8888
2025-01-01T19:37:48.518+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Exception on Url - http://localhost:8888:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8888/post-service/default": Connection refused: no further information. Will be trying the next url if available
2025-01-01T19:37:48.519+0100 WARN  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/post-service/default": Connection refused: no further information
2025-01-01T19:37:48.535+0100 INFO  [main] pxl.be.services.controller.PostControllerTests - No active profile set, falling back to 1 default profile: "default"
2025-01-01T19:37:48.541+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
2025-01-01T19:37:48.541+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServerConfigDataLoader - Located environment: name=post-service, profiles=[default], label=null, version=null, state=null
2025-01-01T19:37:52.741+0100 INFO  [main] org.springframework.boot.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2025-01-01T19:37:52.742+0100 INFO  [main] org.springframework.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2025-01-01T19:37:52.746+0100 INFO  [main] org.springframework.test.web.servlet.TestDispatcherServlet - Completed initialization in 2 ms
2025-01-01T19:37:52.786+0100 INFO  [main] pxl.be.services.controller.PostControllerTests - Started PostControllerTests in 8.378 seconds (process running for 10.484)
2025-01-01T19:37:54.002+0100 INFO  [main] pxl.be.services.service.PostService - Attempting to update poststatus for post with id 1

2025-01-01T19:37:54.004+0100 INFO  [main] pxl.be.services.service.PostService - The poststatus for post with postId 1 has been succesfully updated!
2025-01-01T19:40:01.326+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8888
2025-01-01T19:40:01.334+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Exception on Url - http://localhost:8888:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8888/post-service/default": Connection refused: no further information. Will be trying the next url if available
2025-01-01T19:40:01.334+0100 WARN  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/post-service/default": Connection refused: no further information
2025-01-01T19:40:01.350+0100 INFO  [main] pxl.be.services.controller.PostControllerTests - No active profile set, falling back to 1 default profile: "default"
