2025-01-01T18:58:01.258+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8888
2025-01-01T18:58:01.266+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Exception on Url - http://localhost:8888:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8888/review-service/default": Connection refused: no further information. Will be trying the next url if available
2025-01-01T18:58:01.266+0100 WARN  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/review-service/default": Connection refused: no further information
2025-01-01T18:58:01.281+0100 INFO  [main] pxl.be.services.controller.ReviewControllerTests - No active profile set, falling back to 1 default profile: "default"
2025-01-01T18:58:01.286+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
2025-01-01T18:58:01.287+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServerConfigDataLoader - Located environment: name=review-service, profiles=[default], label=null, version=null, state=null
2025-01-01T18:58:04.899+0100 INFO  [main] org.springframework.boot.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2025-01-01T18:58:04.899+0100 INFO  [main] org.springframework.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2025-01-01T18:58:04.905+0100 INFO  [main] org.springframework.test.web.servlet.TestDispatcherServlet - Completed initialization in 3 ms
2025-01-01T18:58:04.981+0100 INFO  [main] pxl.be.services.controller.ReviewControllerTests - Started ReviewControllerTests in 8.311 seconds (process running for 10.725)
2025-01-01T18:58:05.501+0100 INFO  [main] pxl.be.services.controller.ReviewController - Attempting to add review for post..
2025-01-01T18:58:05.690+0100 INFO  [main] pxl.be.services.controller.ReviewController - Attempting to add review for post..
2025-01-01T18:58:06.469+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Adding review for post with postId: 1

2025-01-01T18:58:06.494+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Now deleting all reviews for post with postId: 1
2025-01-01T18:58:06.496+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Reviews for post with id 1 have been successfully deleted!
2025-01-01T18:58:06.508+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Adding review for post with postId: 1

2025-01-01T18:58:06.509+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Succesfully added the review!

2025-01-01T18:58:06.509+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Attempting to update the poststatus for post with id: 1

2025-01-01T18:58:06.510+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Request to chat-service to update PostStatus for chat with id 1 has been sent.
2025-01-01T18:58:06.510+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Sending notification to notification-service.. 
2025-01-01T18:58:06.518+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Adding review for post with postId: 1

2025-01-01T18:58:06.525+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Adding review for post with postId: 1

2025-01-01T18:58:06.531+0100 INFO  [main] pxl.be.services.service.impl.ReviewService - Adding review for post with postId: 1

2025-01-01T19:02:48.901+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8888
2025-01-01T19:02:48.910+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Exception on Url - http://localhost:8888:org.springframework.web.client.ResourceAccessException: I/O error on GET request for "http://localhost:8888/review-service/default": Connection refused: no further information. Will be trying the next url if available
2025-01-01T19:02:48.911+0100 WARN  [main] org.springframework.cloud.config.client.ConfigServicePropertySourceLocator - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/review-service/default": Connection refused: no further information
2025-01-01T19:02:48.929+0100 INFO  [main] pxl.be.services.controller.ReviewControllerTests - No active profile set, falling back to 1 default profile: "default"
2025-01-01T19:02:48.936+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServerConfigDataLoader - Fetching config from server at : http://localhost:8088/
2025-01-01T19:02:48.937+0100 INFO  [main] org.springframework.cloud.config.client.ConfigServerConfigDataLoader - Located environment: name=review-service, profiles=[default], label=null, version=null, state=null
